shard_name,shard_mode,source_config_path,config_path,expected_run_root,condition_label,m1_sigma_nm,m2_sigma_nm,draw_start,draw_stop,draw_index,expected_subblocks,expected_windows,expected_subblocks_per_window,expected_n_theta,recommended_time,recommended_cpus_per_task,recommended_mem,recommended_max_workers,sbatch_command,ho_ke_active_mirror,ho_ke_primary_enabled,ho_ke_secondary_enabled,ho_ke_primary_amplitude_nm_rms,ho_ke_secondary_amplitude_nm_rms,field_offset_x_as,field_offset_y_as,field_offset_pa_deg,truth_seed,knowledge_error_seed,primary_ke_map_hash,secondary_ke_map_hash,map_group
ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xp1p0_yp0p0_w10x30_draw_004,draw,examples/recipes/full_fidelity_howfe_field_dither_20260720/configs/production/ff_howfe_field_m1_hoke_0p05nm_xp1p0_yp0p0_w10x30_v1.yaml,examples/recipes/full_fidelity_howfe_field_dither_20260720/shards/production_m1_offaxis/configs/ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xp1p0_yp0p0_w10x30_draw_004.yaml,/projects/shera_hpc/dmckeith/dLuxShera-Results/observation_bias_campaign/ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xp1p0_yp0p0_w10x30_draw_004,m1_hoke_0p05nm_xp1p0_yp0p0_w10x30,1.0,1.0,4,5,4,300,10,30,20,12:00:00,10,128G,5,"sbatch --time=12:00:00 --cpus-per-task=10 --mem=128G --job-name=ff-m1_hoke_0p05nm_xp1p0_yp0p0_w10x30-d004 --output=""$RESULTS_ROOT/slurm_logs/%x-%j.out"" --error=""$RESULTS_ROOT/slurm_logs/%x-%j.err"" --export=ALL,RESULTS_ROOT=/projects/shera_hpc/dmckeith/dLuxShera-Results,CONFIG=examples/recipes/full_fidelity_howfe_field_dither_20260720/shards/production_m1_offaxis/configs/ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xp1p0_yp0p0_w10x30_draw_004.yaml,RUN_NAME=ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xp1p0_yp0p0_w10x30_draw_004,MAX_WORKERS=5,FAIL_FAST=1,ANALYZE_AFTER_RUN=1,USE_RESOURCE_TIME=1 examples/recipes/full_fidelity_algorithm_campaign_template/full_fidelity_iterative_campaign_hpc.sbatch",primary,True,False,0.05,0.0,1.0,0.0,0.0,20260610,20260720,8463b61f421d7c1167971274e08bd98f418cbe3b97722df40d39a95a1fd872a5,136ffb953c6b61223cde44f31b1f27f64527b18d960e3028051b6457c7366d84,truth20260610_ke20260720_independent
ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xp1p0_yp0p0_w10x30_draw_005,draw,examples/recipes/full_fidelity_howfe_field_dither_20260720/configs/production/ff_howfe_field_m1_hoke_0p05nm_xp1p0_yp0p0_w10x30_v1.yaml,examples/recipes/full_fidelity_howfe_field_dither_20260720/shards/production_m1_offaxis/configs/ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xp1p0_yp0p0_w10x30_draw_005.yaml,/projects/shera_hpc/dmckeith/dLuxShera-Results/observation_bias_campaign/ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xp1p0_yp0p0_w10x30_draw_005,m1_hoke_0p05nm_xp1p0_yp0p0_w10x30,1.0,1.0,5,6,5,300,10,30,20,12:00:00,10,128G,5,"sbatch --time=12:00:00 --cpus-per-task=10 --mem=128G --job-name=ff-m1_hoke_0p05nm_xp1p0_yp0p0_w10x30-d005 --output=""$RESULTS_ROOT/slurm_logs/%x-%j.out"" --error=""$RESULTS_ROOT/slurm_logs/%x-%j.err"" --export=ALL,RESULTS_ROOT=/projects/shera_hpc/dmckeith/dLuxShera-Results,CONFIG=examples/recipes/full_fidelity_howfe_field_dither_20260720/shards/production_m1_offaxis/configs/ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xp1p0_yp0p0_w10x30_draw_005.yaml,RUN_NAME=ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xp1p0_yp0p0_w10x30_draw_005,MAX_WORKERS=5,FAIL_FAST=1,ANALYZE_AFTER_RUN=1,USE_RESOURCE_TIME=1 examples/recipes/full_fidelity_algorithm_campaign_template/full_fidelity_iterative_campaign_hpc.sbatch",primary,True,False,0.05,0.0,1.0,0.0,0.0,20260610,20260720,8463b61f421d7c1167971274e08bd98f418cbe3b97722df40d39a95a1fd872a5,136ffb953c6b61223cde44f31b1f27f64527b18d960e3028051b6457c7366d84,truth20260610_ke20260720_independent
ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xp1p0_yp0p0_w10x30_draw_006,draw,examples/recipes/full_fidelity_howfe_field_dither_20260720/configs/production/ff_howfe_field_m1_hoke_0p05nm_xp1p0_yp0p0_w10x30_v1.yaml,examples/recipes/full_fidelity_howfe_field_dither_20260720/shards/production_m1_offaxis/configs/ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xp1p0_yp0p0_w10x30_draw_006.yaml,/projects/shera_hpc/dmckeith/dLuxShera-Results/observation_bias_campaign/ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xp1p0_yp0p0_w10x30_draw_006,m1_hoke_0p05nm_xp1p0_yp0p0_w10x30,1.0,1.0,6,7,6,300,10,30,20,12:00:00,10,128G,5,"sbatch --time=12:00:00 --cpus-per-task=10 --mem=128G --job-name=ff-m1_hoke_0p05nm_xp1p0_yp0p0_w10x30-d006 --output=""$RESULTS_ROOT/slurm_logs/%x-%j.out"" --error=""$RESULTS_ROOT/slurm_logs/%x-%j.err"" --export=ALL,RESULTS_ROOT=/projects/shera_hpc/dmckeith/dLuxShera-Results,CONFIG=examples/recipes/full_fidelity_howfe_field_dither_20260720/shards/production_m1_offaxis/configs/ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xp1p0_yp0p0_w10x30_draw_006.yaml,RUN_NAME=ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xp1p0_yp0p0_w10x30_draw_006,MAX_WORKERS=5,FAIL_FAST=1,ANALYZE_AFTER_RUN=1,USE_RESOURCE_TIME=1 examples/recipes/full_fidelity_algorithm_campaign_template/full_fidelity_iterative_campaign_hpc.sbatch",primary,True,False,0.05,0.0,1.0,0.0,0.0,20260610,20260720,8463b61f421d7c1167971274e08bd98f418cbe3b97722df40d39a95a1fd872a5,136ffb953c6b61223cde44f31b1f27f64527b18d960e3028051b6457c7366d84,truth20260610_ke20260720_independent
ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xp1p0_yp0p0_w10x30_draw_007,draw,examples/recipes/full_fidelity_howfe_field_dither_20260720/configs/production/ff_howfe_field_m1_hoke_0p05nm_xp1p0_yp0p0_w10x30_v1.yaml,examples/recipes/full_fidelity_howfe_field_dither_20260720/shards/production_m1_offaxis/configs/ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xp1p0_yp0p0_w10x30_draw_007.yaml,/projects/shera_hpc/dmckeith/dLuxShera-Results/observation_bias_campaign/ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xp1p0_yp0p0_w10x30_draw_007,m1_hoke_0p05nm_xp1p0_yp0p0_w10x30,1.0,1.0,7,8,7,300,10,30,20,12:00:00,10,128G,5,"sbatch --time=12:00:00 --cpus-per-task=10 --mem=128G --job-name=ff-m1_hoke_0p05nm_xp1p0_yp0p0_w10x30-d007 --output=""$RESULTS_ROOT/slurm_logs/%x-%j.out"" --error=""$RESULTS_ROOT/slurm_logs/%x-%j.err"" --export=ALL,RESULTS_ROOT=/projects/shera_hpc/dmckeith/dLuxShera-Results,CONFIG=examples/recipes/full_fidelity_howfe_field_dither_20260720/shards/production_m1_offaxis/configs/ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xp1p0_yp0p0_w10x30_draw_007.yaml,RUN_NAME=ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xp1p0_yp0p0_w10x30_draw_007,MAX_WORKERS=5,FAIL_FAST=1,ANALYZE_AFTER_RUN=1,USE_RESOURCE_TIME=1 examples/recipes/full_fidelity_algorithm_campaign_template/full_fidelity_iterative_campaign_hpc.sbatch",primary,True,False,0.05,0.0,1.0,0.0,0.0,20260610,20260720,8463b61f421d7c1167971274e08bd98f418cbe3b97722df40d39a95a1fd872a5,136ffb953c6b61223cde44f31b1f27f64527b18d960e3028051b6457c7366d84,truth20260610_ke20260720_independent
ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xp1p0_yp0p0_w10x30_draw_008,draw,examples/recipes/full_fidelity_howfe_field_dither_20260720/configs/production/ff_howfe_field_m1_hoke_0p05nm_xp1p0_yp0p0_w10x30_v1.yaml,examples/recipes/full_fidelity_howfe_field_dither_20260720/shards/production_m1_offaxis/configs/ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xp1p0_yp0p0_w10x30_draw_008.yaml,/projects/shera_hpc/dmckeith/dLuxShera-Results/observation_bias_campaign/ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xp1p0_yp0p0_w10x30_draw_008,m1_hoke_0p05nm_xp1p0_yp0p0_w10x30,1.0,1.0,8,9,8,300,10,30,20,12:00:00,10,128G,5,"sbatch --time=12:00:00 --cpus-per-task=10 --mem=128G --job-name=ff-m1_hoke_0p05nm_xp1p0_yp0p0_w10x30-d008 --output=""$RESULTS_ROOT/slurm_logs/%x-%j.out"" --error=""$RESULTS_ROOT/slurm_logs/%x-%j.err"" --export=ALL,RESULTS_ROOT=/projects/shera_hpc/dmckeith/dLuxShera-Results,CONFIG=examples/recipes/full_fidelity_howfe_field_dither_20260720/shards/production_m1_offaxis/configs/ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xp1p0_yp0p0_w10x30_draw_008.yaml,RUN_NAME=ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xp1p0_yp0p0_w10x30_draw_008,MAX_WORKERS=5,FAIL_FAST=1,ANALYZE_AFTER_RUN=1,USE_RESOURCE_TIME=1 examples/recipes/full_fidelity_algorithm_campaign_template/full_fidelity_iterative_campaign_hpc.sbatch",primary,True,False,0.05,0.0,1.0,0.0,0.0,20260610,20260720,8463b61f421d7c1167971274e08bd98f418cbe3b97722df40d39a95a1fd872a5,136ffb953c6b61223cde44f31b1f27f64527b18d960e3028051b6457c7366d84,truth20260610_ke20260720_independent
ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xp1p0_yp0p0_w10x30_draw_009,draw,examples/recipes/full_fidelity_howfe_field_dither_20260720/configs/production/ff_howfe_field_m1_hoke_0p05nm_xp1p0_yp0p0_w10x30_v1.yaml,examples/recipes/full_fidelity_howfe_field_dither_20260720/shards/production_m1_offaxis/configs/ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xp1p0_yp0p0_w10x30_draw_009.yaml,/projects/shera_hpc/dmckeith/dLuxShera-Results/observation_bias_campaign/ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xp1p0_yp0p0_w10x30_draw_009,m1_hoke_0p05nm_xp1p0_yp0p0_w10x30,1.0,1.0,9,10,9,300,10,30,20,12:00:00,10,128G,5,"sbatch --time=12:00:00 --cpus-per-task=10 --mem=128G --job-name=ff-m1_hoke_0p05nm_xp1p0_yp0p0_w10x30-d009 --output=""$RESULTS_ROOT/slurm_logs/%x-%j.out"" --error=""$RESULTS_ROOT/slurm_logs/%x-%j.err"" --export=ALL,RESULTS_ROOT=/projects/shera_hpc/dmckeith/dLuxShera-Results,CONFIG=examples/recipes/full_fidelity_howfe_field_dither_20260720/shards/production_m1_offaxis/configs/ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xp1p0_yp0p0_w10x30_draw_009.yaml,RUN_NAME=ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xp1p0_yp0p0_w10x30_draw_009,MAX_WORKERS=5,FAIL_FAST=1,ANALYZE_AFTER_RUN=1,USE_RESOURCE_TIME=1 examples/recipes/full_fidelity_algorithm_campaign_template/full_fidelity_iterative_campaign_hpc.sbatch",primary,True,False,0.05,0.0,1.0,0.0,0.0,20260610,20260720,8463b61f421d7c1167971274e08bd98f418cbe3b97722df40d39a95a1fd872a5,136ffb953c6b61223cde44f31b1f27f64527b18d960e3028051b6457c7366d84,truth20260610_ke20260720_independent
ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xm1p0_yp0p0_w10x30_draw_000,draw,examples/recipes/full_fidelity_howfe_field_dither_20260720/configs/production/ff_howfe_field_m1_hoke_0p05nm_xm1p0_yp0p0_w10x30_v1.yaml,examples/recipes/full_fidelity_howfe_field_dither_20260720/shards/production_m1_offaxis/configs/ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xm1p0_yp0p0_w10x30_draw_000.yaml,/projects/shera_hpc/dmckeith/dLuxShera-Results/observation_bias_campaign/ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xm1p0_yp0p0_w10x30_draw_000,m1_hoke_0p05nm_xm1p0_yp0p0_w10x30,1.0,1.0,0,1,0,300,10,30,20,12:00:00,10,128G,5,"sbatch --time=12:00:00 --cpus-per-task=10 --mem=128G --job-name=ff-m1_hoke_0p05nm_xm1p0_yp0p0_w10x30-d000 --output=""$RESULTS_ROOT/slurm_logs/%x-%j.out"" --error=""$RESULTS_ROOT/slurm_logs/%x-%j.err"" --export=ALL,RESULTS_ROOT=/projects/shera_hpc/dmckeith/dLuxShera-Results,CONFIG=examples/recipes/full_fidelity_howfe_field_dither_20260720/shards/production_m1_offaxis/configs/ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xm1p0_yp0p0_w10x30_draw_000.yaml,RUN_NAME=ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xm1p0_yp0p0_w10x30_draw_000,MAX_WORKERS=5,FAIL_FAST=1,ANALYZE_AFTER_RUN=1,USE_RESOURCE_TIME=1 examples/recipes/full_fidelity_algorithm_campaign_template/full_fidelity_iterative_campaign_hpc.sbatch",primary,True,False,0.05,0.0,-1.0,0.0,0.0,20260610,20260720,8463b61f421d7c1167971274e08bd98f418cbe3b97722df40d39a95a1fd872a5,136ffb953c6b61223cde44f31b1f27f64527b18d960e3028051b6457c7366d84,truth20260610_ke20260720_independent
ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xm1p0_yp0p0_w10x30_draw_001,draw,examples/recipes/full_fidelity_howfe_field_dither_20260720/configs/production/ff_howfe_field_m1_hoke_0p05nm_xm1p0_yp0p0_w10x30_v1.yaml,examples/recipes/full_fidelity_howfe_field_dither_20260720/shards/production_m1_offaxis/configs/ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xm1p0_yp0p0_w10x30_draw_001.yaml,/projects/shera_hpc/dmckeith/dLuxShera-Results/observation_bias_campaign/ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xm1p0_yp0p0_w10x30_draw_001,m1_hoke_0p05nm_xm1p0_yp0p0_w10x30,1.0,1.0,1,2,1,300,10,30,20,12:00:00,10,128G,5,"sbatch --time=12:00:00 --cpus-per-task=10 --mem=128G --job-name=ff-m1_hoke_0p05nm_xm1p0_yp0p0_w10x30-d001 --output=""$RESULTS_ROOT/slurm_logs/%x-%j.out"" --error=""$RESULTS_ROOT/slurm_logs/%x-%j.err"" --export=ALL,RESULTS_ROOT=/projects/shera_hpc/dmckeith/dLuxShera-Results,CONFIG=examples/recipes/full_fidelity_howfe_field_dither_20260720/shards/production_m1_offaxis/configs/ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xm1p0_yp0p0_w10x30_draw_001.yaml,RUN_NAME=ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xm1p0_yp0p0_w10x30_draw_001,MAX_WORKERS=5,FAIL_FAST=1,ANALYZE_AFTER_RUN=1,USE_RESOURCE_TIME=1 examples/recipes/full_fidelity_algorithm_campaign_template/full_fidelity_iterative_campaign_hpc.sbatch",primary,True,False,0.05,0.0,-1.0,0.0,0.0,20260610,20260720,8463b61f421d7c1167971274e08bd98f418cbe3b97722df40d39a95a1fd872a5,136ffb953c6b61223cde44f31b1f27f64527b18d960e3028051b6457c7366d84,truth20260610_ke20260720_independent
ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xm1p0_yp0p0_w10x30_draw_002,draw,examples/recipes/full_fidelity_howfe_field_dither_20260720/configs/production/ff_howfe_field_m1_hoke_0p05nm_xm1p0_yp0p0_w10x30_v1.yaml,examples/recipes/full_fidelity_howfe_field_dither_20260720/shards/production_m1_offaxis/configs/ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xm1p0_yp0p0_w10x30_draw_002.yaml,/projects/shera_hpc/dmckeith/dLuxShera-Results/observation_bias_campaign/ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xm1p0_yp0p0_w10x30_draw_002,m1_hoke_0p05nm_xm1p0_yp0p0_w10x30,1.0,1.0,2,3,2,300,10,30,20,12:00:00,10,128G,5,"sbatch --time=12:00:00 --cpus-per-task=10 --mem=128G --job-name=ff-m1_hoke_0p05nm_xm1p0_yp0p0_w10x30-d002 --output=""$RESULTS_ROOT/slurm_logs/%x-%j.out"" --error=""$RESULTS_ROOT/slurm_logs/%x-%j.err"" --export=ALL,RESULTS_ROOT=/projects/shera_hpc/dmckeith/dLuxShera-Results,CONFIG=examples/recipes/full_fidelity_howfe_field_dither_20260720/shards/production_m1_offaxis/configs/ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xm1p0_yp0p0_w10x30_draw_002.yaml,RUN_NAME=ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xm1p0_yp0p0_w10x30_draw_002,MAX_WORKERS=5,FAIL_FAST=1,ANALYZE_AFTER_RUN=1,USE_RESOURCE_TIME=1 examples/recipes/full_fidelity_algorithm_campaign_template/full_fidelity_iterative_campaign_hpc.sbatch",primary,True,False,0.05,0.0,-1.0,0.0,0.0,20260610,20260720,8463b61f421d7c1167971274e08bd98f418cbe3b97722df40d39a95a1fd872a5,136ffb953c6b61223cde44f31b1f27f64527b18d960e3028051b6457c7366d84,truth20260610_ke20260720_independent
ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xm1p0_yp0p0_w10x30_draw_003,draw,examples/recipes/full_fidelity_howfe_field_dither_20260720/configs/production/ff_howfe_field_m1_hoke_0p05nm_xm1p0_yp0p0_w10x30_v1.yaml,examples/recipes/full_fidelity_howfe_field_dither_20260720/shards/production_m1_offaxis/configs/ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xm1p0_yp0p0_w10x30_draw_003.yaml,/projects/shera_hpc/dmckeith/dLuxShera-Results/observation_bias_campaign/ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xm1p0_yp0p0_w10x30_draw_003,m1_hoke_0p05nm_xm1p0_yp0p0_w10x30,1.0,1.0,3,4,3,300,10,30,20,12:00:00,10,128G,5,"sbatch --time=12:00:00 --cpus-per-task=10 --mem=128G --job-name=ff-m1_hoke_0p05nm_xm1p0_yp0p0_w10x30-d003 --output=""$RESULTS_ROOT/slurm_logs/%x-%j.out"" --error=""$RESULTS_ROOT/slurm_logs/%x-%j.err"" --export=ALL,RESULTS_ROOT=/projects/shera_hpc/dmckeith/dLuxShera-Results,CONFIG=examples/recipes/full_fidelity_howfe_field_dither_20260720/shards/production_m1_offaxis/configs/ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xm1p0_yp0p0_w10x30_draw_003.yaml,RUN_NAME=ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xm1p0_yp0p0_w10x30_draw_003,MAX_WORKERS=5,FAIL_FAST=1,ANALYZE_AFTER_RUN=1,USE_RESOURCE_TIME=1 examples/recipes/full_fidelity_algorithm_campaign_template/full_fidelity_iterative_campaign_hpc.sbatch",primary,True,False,0.05,0.0,-1.0,0.0,0.0,20260610,20260720,8463b61f421d7c1167971274e08bd98f418cbe3b97722df40d39a95a1fd872a5,136ffb953c6b61223cde44f31b1f27f64527b18d960e3028051b6457c7366d84,truth20260610_ke20260720_independent
ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xm1p0_yp0p0_w10x30_draw_004,draw,examples/recipes/full_fidelity_howfe_field_dither_20260720/configs/production/ff_howfe_field_m1_hoke_0p05nm_xm1p0_yp0p0_w10x30_v1.yaml,examples/recipes/full_fidelity_howfe_field_dither_20260720/shards/production_m1_offaxis/configs/ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xm1p0_yp0p0_w10x30_draw_004.yaml,/projects/shera_hpc/dmckeith/dLuxShera-Results/observation_bias_campaign/ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xm1p0_yp0p0_w10x30_draw_004,m1_hoke_0p05nm_xm1p0_yp0p0_w10x30,1.0,1.0,4,5,4,300,10,30,20,12:00:00,10,128G,5,"sbatch --time=12:00:00 --cpus-per-task=10 --mem=128G --job-name=ff-m1_hoke_0p05nm_xm1p0_yp0p0_w10x30-d004 --output=""$RESULTS_ROOT/slurm_logs/%x-%j.out"" --error=""$RESULTS_ROOT/slurm_logs/%x-%j.err"" --export=ALL,RESULTS_ROOT=/projects/shera_hpc/dmckeith/dLuxShera-Results,CONFIG=examples/recipes/full_fidelity_howfe_field_dither_20260720/shards/production_m1_offaxis/configs/ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xm1p0_yp0p0_w10x30_draw_004.yaml,RUN_NAME=ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xm1p0_yp0p0_w10x30_draw_004,MAX_WORKERS=5,FAIL_FAST=1,ANALYZE_AFTER_RUN=1,USE_RESOURCE_TIME=1 examples/recipes/full_fidelity_algorithm_campaign_template/full_fidelity_iterative_campaign_hpc.sbatch",primary,True,False,0.05,0.0,-1.0,0.0,0.0,20260610,20260720,8463b61f421d7c1167971274e08bd98f418cbe3b97722df40d39a95a1fd872a5,136ffb953c6b61223cde44f31b1f27f64527b18d960e3028051b6457c7366d84,truth20260610_ke20260720_independent
ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xm1p0_yp0p0_w10x30_draw_005,draw,examples/recipes/full_fidelity_howfe_field_dither_20260720/configs/production/ff_howfe_field_m1_hoke_0p05nm_xm1p0_yp0p0_w10x30_v1.yaml,examples/recipes/full_fidelity_howfe_field_dither_20260720/shards/production_m1_offaxis/configs/ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xm1p0_yp0p0_w10x30_draw_005.yaml,/projects/shera_hpc/dmckeith/dLuxShera-Results/observation_bias_campaign/ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xm1p0_yp0p0_w10x30_draw_005,m1_hoke_0p05nm_xm1p0_yp0p0_w10x30,1.0,1.0,5,6,5,300,10,30,20,12:00:00,10,128G,5,"sbatch --time=12:00:00 --cpus-per-task=10 --mem=128G --job-name=ff-m1_hoke_0p05nm_xm1p0_yp0p0_w10x30-d005 --output=""$RESULTS_ROOT/slurm_logs/%x-%j.out"" --error=""$RESULTS_ROOT/slurm_logs/%x-%j.err"" --export=ALL,RESULTS_ROOT=/projects/shera_hpc/dmckeith/dLuxShera-Results,CONFIG=examples/recipes/full_fidelity_howfe_field_dither_20260720/shards/production_m1_offaxis/configs/ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xm1p0_yp0p0_w10x30_draw_005.yaml,RUN_NAME=ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xm1p0_yp0p0_w10x30_draw_005,MAX_WORKERS=5,FAIL_FAST=1,ANALYZE_AFTER_RUN=1,USE_RESOURCE_TIME=1 examples/recipes/full_fidelity_algorithm_campaign_template/full_fidelity_iterative_campaign_hpc.sbatch",primary,True,False,0.05,0.0,-1.0,0.0,0.0,20260610,20260720,8463b61f421d7c1167971274e08bd98f418cbe3b97722df40d39a95a1fd872a5,136ffb953c6b61223cde44f31b1f27f64527b18d960e3028051b6457c7366d84,truth20260610_ke20260720_independent
ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xm1p0_yp0p0_w10x30_draw_006,draw,examples/recipes/full_fidelity_howfe_field_dither_20260720/configs/production/ff_howfe_field_m1_hoke_0p05nm_xm1p0_yp0p0_w10x30_v1.yaml,examples/recipes/full_fidelity_howfe_field_dither_20260720/shards/production_m1_offaxis/configs/ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xm1p0_yp0p0_w10x30_draw_006.yaml,/projects/shera_hpc/dmckeith/dLuxShera-Results/observation_bias_campaign/ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xm1p0_yp0p0_w10x30_draw_006,m1_hoke_0p05nm_xm1p0_yp0p0_w10x30,1.0,1.0,6,7,6,300,10,30,20,12:00:00,10,128G,5,"sbatch --time=12:00:00 --cpus-per-task=10 --mem=128G --job-name=ff-m1_hoke_0p05nm_xm1p0_yp0p0_w10x30-d006 --output=""$RESULTS_ROOT/slurm_logs/%x-%j.out"" --error=""$RESULTS_ROOT/slurm_logs/%x-%j.err"" --export=ALL,RESULTS_ROOT=/projects/shera_hpc/dmckeith/dLuxShera-Results,CONFIG=examples/recipes/full_fidelity_howfe_field_dither_20260720/shards/production_m1_offaxis/configs/ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xm1p0_yp0p0_w10x30_draw_006.yaml,RUN_NAME=ff_howfe_production_m1_offaxis_cond_m1_hoke_0p05nm_xm1p0_yp0p0_w10x30_draw_006,MAX_WORKERS=5,FAIL_FAST=1,ANALYZE_AFTER_RUN=1,USE_RESOURCE_TIME=1 examples/recipes/full_fidelity_algorithm_campaign_template/full_fidelity_iterative_campaign_hpc.sbatch",primary,True,False,0.05,0.0,-1.0,0.0,0.0,20260610,20260720,8463b61f421d7c1167971274e08bd98f418cbe3b97722df40d39a95a1fd872a5,136ffb953c6b61223cde44f31b1f27f64527b18d960e3028051b6457c7366d84,truth20260610_ke20260720_independent
